parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
K,6.365358395552849,0.39944654501698984,0.004465948140177096,0.015390991495840247,481.99231462075187,1.0020774756774313,0.7474104831740825
r,0.9636282516087197,0.09865864566595436,0.001103037191385695,0.002354139222043669,2144.364964821887,1.0009569457023606,3.3252000205027685
bpsd,0.1304543266159383,0.06058825513263449,0.0006773972855733562,0.003898865780845981,148.43210861876253,1.01544172923728,0.230169051779567
bosd,1.360965107566038,0.6168956841485661,0.0068971034239121674,0.03790760715481172,179.33796326796318,1.003743843141511,0.27809379882546625
q,1.2537399734017827,0.09373877851469362,0.0010480314044332584,0.0037163376420182915,472.6859417290633,1.0009942828887421,0.7329793803357559
m[1],0.9057685054613361,0.06650461666101637,0.0007435442183579883,0.002016297386669455,859.0164179985564,1.0008188434066243,1.332050027677201
m[2],0.8713285789893477,0.08984603507920506,0.0010045092097296661,0.0022796551985692507,1714.2541160657374,1.0033717964699616,2.658240511946721
m[3],0.9585907114249346,0.1268385360060865,0.0014180979433808204,0.0062688863773357195,265.7327556900937,1.0044726390112897,0.4120635149168046
m[4],0.8179472284114437,0.09592775641528545,0.001072504921368099,0.0020390983866251716,2760.1042858734345,1.0031958104812104,4.280007824478912
m[5],0.6678421401362826,0.10091772202227954,0.001128294432881223,0.0029057765718869632,1281.19093471286,1.0006089907035989,1.9867029131065015
m[6],0.5830579671708672,0.10564609408717117,0.0011811592396812666,0.0037766317634360578,606.3720778804219,1.0005307848604543,0.940282311489715
m[7],0.5050618633971127,0.1251083816841189,0.0013987542300033973,0.006037936783459646,285.25346562411124,1.0026323799909944,0.44233367234693927
m[8],0.557656615677192,0.16183813284358722,0.0018094053319495118,0.009109745072310457,201.7716844491165,1.0052862003977792,0.312881072146601
m[9],0.642931091161513,0.16557190835273147,0.0018511502112053642,0.009344621551616415,197.2164780302682,1.0047141017089343,0.30581745530626203
m[10],0.7816380120220783,0.1389518713224496,0.0015535291493890045,0.006993651392928446,259.10192594039853,1.0025130095988166,0.4017812935685985
m[11],0.8600671502540898,0.11640765037171355,0.0013014770966609007,0.005193336490433779,358.84879366390874,1.0016580960120602,0.5564556573268464
m[12],0.9511707237593616,0.08887707287179913,0.0009936758829127267,0.002170660208616658,1443.4593352574109,1.002821460655259,2.238327472204122
m[13],0.9801440190008315,0.09604843675515688,0.0010738541685856007,0.0033150596027879333,631.9018286427942,1.0032138018734884,0.9798705015371689
m[14],1.0153650833921215,0.10377933181490007,0.0011602882029881159,0.004512178109055291,339.9433195396632,1.0058248998768302,0.5271395269214155
m[15],1.040584565330981,0.12146053430241838,0.0013579700564182624,0.006280988944013248,244.63005259976222,1.004287854363863,0.3793402099291844
m[16],0.8868818974988865,0.09235205878230794,0.001032527406496485,0.001685029551314288,3741.1214439598907,1.001111030899077,5.801240603272052
m[17],0.7634806337890222,0.11558829524540332,0.0012923164278601878,0.00472171380196059,411.7963197819338,1.0004146622775494,0.6385597384051585
m[18],0.7143423286470035,0.1481897847712614,0.001656812161598018,0.007651400067087961,237.88481799639885,1.0026167983940237,0.3688805845345572
m[19],0.7394955943742364,0.16742536503763458,0.0018718724869093378,0.00928915500807353,208.7133749901445,1.0024741887921835,0.3236453356502567
m[20],0.7520046522748476,0.1260861376551907,0.001409685874087012,0.005972149922957461,312.39340693767525,1.0016397253629734,0.48441873477464165
m[21],0.93150616019836,0.09671568418933134,0.0010813142216887326,0.003025546765818395,830.7607613040902,1.0032972170551235,1.288234860128256
m[22],1.013711362208526,0.11985788824002,0.0013400519287212868,0.005676892916067988,292.6273551259728,1.0039118905391988,0.45376813332956956
m[23],0.8275069206999619,0.09761752123230277,0.0010913970663522902,0.002521873614809169,1357.8563213809039,1.0016117133826408,2.105585542464143
m[24],0.7789469542960313,0.10165132916673196,0.0011364964101000985,0.0031484284056425694,864.7960324533251,1.0011214529965293,1.3410122959565147
m[25],0.9250020285539617,0.14033243786752972,0.0015689643526003102,0.003083226262916835,2403.3121991794696,1.0006157825852857,3.726741438647738
m[26],0.9560513820787466,0.1395923583586534,0.0015606900121472999,0.0027019289355558794,3325.6181539222353,1.0014284541403295,5.156932581448472
m[27],0.9648555605590386,0.13995085000756013,0.0015646980706289072,0.002493097590319004,3922.998773316888,1.001118630828382,6.0832721180693055
m[28],0.9684967248686526,0.1403374011999482,0.0015690198443437237,0.0025251300127456236,3957.324959147311,1.0002696379818323,6.136500666240715
m[29],0.9649956463279027,0.1352126021949968,0.0015117228496132507,0.0021003178921139534,4588.874182928487,1.0004238138376147,7.115824394391676
