parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
K[1];2.3163224110340755e6;585173.9434855542;7554.563125846905;6932.337343809837;5814.023769811936;0.9997858188549771;4.115688872332714
K[2];2.321526179204242e6;594284.249027902;7672.176664661487;8168.328361279334;6028.539936276608;0.9998786601193738;4.267542706133377
K[3];2.310675143519463e6;589523.7561851023;7610.718966328476;6363.58585112337;6173.449296751337;0.9996503865148779;4.370122582999271
K[4];2.3203174945710488e6;589611.5758127584;7611.8527128464175;7317.942970395238;6101.614074714062;1.0003558105900219;4.319271152787467
K[5];2.3339709009140204e6;594459.6289596667;7674.440809844764;7590.521436210763;5949.933615031112;0.9998692305768685;4.211898082985308
K[6];2.317523659574425e6;576018.5537960868;7436.3675531957515;8673.652073838584;5995.508311605896;1.0002516418811807;4.244159951697765
q1[1];1.0019674844891542;0.2513054860463786;0.003244339874227282;0.0031937618845195243;5791.842469044841;1.0004722587812263;4.099986952912466
q1[2];1.0073451630184553;0.24523837079470834;0.0031660137531298155;0.00331177048598413;5896.669702753615;0.9997309303442565;4.1741930959166895
q1[3];0.9979568475182732;0.24752336088204277;0.003195512848311467;0.0031667948713355624;6126.384169251917;0.9998294174884973;4.336805653245723
q1[4];1.0016174345577231;0.2493378783921717;0.0032189381686385703;0.002951449644737386;6058.255846903351;0.9998668718431887;4.288578299990551
q1[5];1.0017294107408443;0.24986082554494746;0.0032256893873507273;0.0033046421960636198;5541.177939906541;0.9999046579983212;3.9225440572332837
q1[6];0.9995267303902541;0.24805793297871515;0.0032024141444039977;0.0028875031998130494;6434.145947597224;0.9997386304646823;4.554667116599541
q0[1];0.08859902615552141;0.24938306142063527;0.0032195214790278056;0.0033682552217775322;5799.946244813584;1.0004307535531416;4.105723534164244
q0[2];0.09498710425770186;0.2482011159721094;0.003204262628900251;0.0032892873449045608;5976.305095814359;1.0008721081636458;4.230566188638763
q0[3];0.06942058794143718;0.24809490632792197;0.003202891468289769;0.003270624265331639;5915.81544451848;0.9998737450987659;4.187746173691044
q0[4];0.1542568880789205;0.2537478205500995;0.0032758702770898777;0.003651476342940439;5539.7099200308785;1.0002772188804898;3.9215048607480547
q0[5];0.08375383203258141;0.24957072276699657;0.003221944176591753;0.0030232688205699943;6266.772872729178;0.9999806313837417;4.4361854025516445
q0[6];0.21755746788703545;0.24971552862337174;0.003223813612159001;0.0030280024835413985;5968.4869036031705;0.999494531047964;4.225031769111203
model_sd[1,1];0.5170728497660639;0.13119933135031667;0.0016937760845110838;0.001572534873100274;6046.983622930027;0.9999730388080179;4.280598806164892
model_sd[2,1];0.5141457838319305;0.1312306633215464;0.001694180578520339;0.0016912453052903022;6022.902516662069;0.9996719485305261;4.263552033563942
model_sd[3,1];0.5148058145157869;0.12996346268659625;0.0016778210886687875;0.0017728387739606073;5644.185596594286;0.9999822354216112;3.9954621399896837
model_sd[4,1];0.5187934289204784;0.1311109000110823;0.0016926344408306254;0.0016186010872752585;5729.952498906959;1.0000329568675945;4.0561756663594135
model_sd[5,1];0.5144828746257943;0.1293017179027529;0.0016692780002445712;0.00153875184516261;6091.9541960394745;0.9995828403333492;4.312433021960498
model_sd[6,1];0.5154733696152088;0.1302541643224004;0.0016815740306494033;0.00161750992199548;5981.201115682527;0.9996969247466774;4.234032031794542
model_sd[7,1];0.2675256293009635;0.0686032282639116;0.000885663868540652;0.0007908917687675711;6077.263824539764;0.9998144800187654;4.302033855925828
model_sd[8,1];0.2463878538262064;0.06286973292318669;0.0008116447619733673;0.0008939679921477948;5931.455039752898;0.9998808279507579;4.198817285647673
model_sd[9,1];0.2705063634317656;0.06972244565053648;0.0009001129028712652;0.0009231194728031507;5682.048949859495;1.000683946400358;4.022265226435934
model_sd[10,1];0.2999196223305197;0.07603140265741735;0.0009815611876032259;0.0008520034847790385;5870.859747483355;0.9995725835097486;4.155922488518631
model_sd[11,1];0.24995127358829156;0.06385778723769749;0.0008244004883241963;0.0008432563999152076;6187.902045041992;1.0000858197939082;4.380353537957407
model_sd[12,1];0.2370455245617843;0.060381669299074285;0.0007795239987050613;0.000884826226940139;6031.540786138313;1.0001444205426546;4.269666977528256
model_sd[13,1];0.2627171483955702;0.06655763368460739;0.000859255356078194;0.0009287176607739275;5725.564113754302;0.9999186316828635;4.053069172706244
model_sd[14,1];0.28995822802096155;0.07356829341683221;0.000949762584040973;0.0009525442499310118;6276.238677797691;0.9999702560933219;4.442886150627432
model_sd[15,1];0.39854711395658765;0.09982133291606128;0.0012886878666004387;0.0012832050740166508;5878.919353093252;1.0000051553872222;4.161627802159809
model_sd[16,1];0.49125395462345023;0.12379588913012836;0.0015981980564330899;0.001550999880091442;5973.8610618244775;0.9999203324173662;4.228836081591732
model_sd[17,1];0.43206117493830404;0.10949474702010262;0.0014135711056868388;0.001503458707478042;5744.902671695056;0.9999298442066555;4.066758743109616
model_sd[18,1];0.4622860433594524;0.11470363305396779;0.001480817535225013;0.0015571644607248814;5995.228499931933;1.0004105838962827;4.243961875831812
model_sd[19,1];0.6411720102403686;0.16389091854336107;0.0021158226603769123;0.002200978330505701;5584.691742720306;1.0001526911052956;3.953347040008032
model_sd[20,1];0.5982569381879991;0.1520310887436411;0.001962712916033013;0.0020400422172793756;6029.249524029192;1.0002195869079566;4.268045016157016
model_sd[21,1];0.5409989243519379;0.13932521738425208;0.001798680822119788;0.0019324382566031672;5930.893360988142;1.0001887565070764;4.198419678906893
model_sd[22,1];0.8721287869531216;0.21998310463705298;0.0028399696690210325;0.0030098131158824864;5894.447320176273;1.0004114594629834;4.1726198936722945
model_sd[23,1];0.7044939636022103;0.17718408095054236;0.002287436649115058;0.0023174321460716226;6232.400812431631;0.9998288392581501;4.41185376723562
model_sd[24,1];0.7698865703249118;0.19621444953677855;0.0025331176511373295;0.0024416197960443965;5708.903037874663;0.9995192117802083;4.041274964888421
model_sd[1,2];0.51577318652796;0.13229865137768235;0.0017079682450382154;0.0017029013490639318;5551.351764653217;0.9998387469848212;3.929746005308621
model_sd[2,2];0.5148658345501714;0.12926677253655747;0.001668826857506898;0.001765787841111309;6260.2665120960155;1.0008039425170827;4.431579615386424
model_sd[3,2];0.5179309494582165;0.13160399058046124;0.0016990002127085472;0.0017193015681162588;6094.980238670293;1.0000266943963505;4.314575127062911
model_sd[4,2];0.5175274260870026;0.1335930520252676;0.0017246788855429416;0.0017923278643386922;5986.729215654832;0.9996274023209024;4.237945318090221
model_sd[5,2];0.5150511354044339;0.13121263239691464;0.001693947800284287;0.0015235428906184385;5720.513137755103;1.0002914496582256;4.049493637665906
model_sd[6,2];0.5167334029550243;0.1327665086929536;0.0017140082570063716;0.0017893644469879416;6069.798314587701;1.0004367351083623;4.296749096617561
model_sd[7,2];0.3818587325447495;0.09614237557982963;0.0012411927316183294;0.0011330008942758288;5926.0525413953155;0.9996855339071526;4.194992911470093
