parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
K[1];5.229362676506302e6;822861.3288481077;13010.579988164185;16399.78274352246;3023.8974744755724;1.0006872789504275;0.005113605453742936
K[2];6.984906649020728e6;1.4272456184154681e6;22566.734673442188;25289.997619494854;2981.1889353284973;0.9996945593516717;0.005041382562409045
K[3];8.785886156320518e6;1.8005472035706013e6;28469.1509896498;40223.21509278405;2423.3502796230405;1.00052242418834;0.004098041455046017
K[4];1.1923561663078045e7;2.5872306480962066e6;40907.70840088796;53760.43383931079;2900.8026864931016;0.9998426967809477;0.004905444236483526
K[5];1.2645734117348224e7;2.578381930636213e6;40767.797893163566;41229.28101543278;3412.152103765276;0.9992524679234575;0.005770169046435869
K[6];1.6096684688965429e7;3.355389570378011e6;53053.36739784181;66216.54609178554;2724.609492517497;1.0018825633016122;0.00460749019365266
q[1];1.1142373862373203;0.08918999340900938;0.0014102176183393767;0.0012682942944631861;3497.5270556673263;0.9993727156100543;0.005914543590660481
q[2];1.0634602856787232;0.09609222422826609;0.0015193514699646826;0.0016054996277436537;4177.06261005361;1.000339531204973;0.007063681994410288
q[3];1.0311331462775837;0.09178395619143494;0.0014512317711302394;0.001479890198912778;3999.148042902638;0.9998073898757763;0.0067628169986348255
q[4];0.974881418351406;0.09877187220291288;0.0015617204246013876;0.001627976024041856;4223.252271949118;0.9998703775580772;0.007141791688594405
q[5];1.0119189543620768;0.09327112586481989;0.0014747459883053652;0.001723734791829633;2862.3958672415447;1.0007632735927314;0.004840495830645215
q[6];0.9410656867671562;0.09046521432705092;0.0014303806314438876;0.0015370216832138123;3992.637909540933;1.0005819616870646;0.006751807943683721
qc[1];-0.18325284904481817;0.08961299747244311;0.0014169058998391615;0.0016327850681709982;2919.57468087029;1.0008858712989974;0.004937188888421988
qc[2];-0.04335887105275455;0.09361361581931425;0.0014801612299650134;0.0018295610996974256;3530.9836899254133;1.000750587428773;0.005971120914743107
qc[3];-0.11313536754110372;0.08926604276755415;0.001411420064277358;0.0015205916692006128;3939.989055923197;0.9997044268452745;0.006662775340142935
qc[4];-0.11989125485299706;0.08418586024582575;0.00133109532578716;0.0015999367251850684;3160.9904275019644;1.0015416363583591;0.005345438469968812
qc[5];-0.18121979170049954;0.0884677991360853;0.00139879872426153;0.002074867757135212;2004.5332108196558;1.0014354177230758;0.0033897948080511336
qc[6];-0.19574038146344916;0.07791777135201891;0.0012319881383829857;0.001406897075508275;3777.7842900995956;0.9999988160826139;0.006388476630566972
model_sd[1,1];0.15323318925830637;0.03801443014619929;0.000601060916076787;0.0005190056581307544;4840.0992877503995;0.9994344773504666;0.008184919734684505
model_sd[2,1];0.15436942506066884;0.0379786075804814;0.0006004945115802889;0.0006758535064599735;3733.791610363127;1.000717910960831;0.006314082174761492
model_sd[3,1];0.1523952654313276;0.03299179495086828;0.0005216460807099334;0.0005133855294322542;3574.546899246584;0.9994917574126987;0.006044789108406292
model_sd[4,1];0.10190407494077593;0.02635677441518242;0.0004167371946361443;0.00039399278486118447;4537.009348337064;1.0003359915261865;0.00767237511958394
model_sd[5,1];0.1253406641556372;0.0302783662309239;0.0004787430055922365;0.0005233442393631542;3920.506084443269;0.9997322667681303;0.006629828380116733
model_sd[6,1];0.13770364483914457;0.03456226257698329;0.0005464773541603393;0.0005409405997319416;4919.8269006819155;0.9994938456158854;0.008319744264861808
model_sd[7,1];0.14010979191290587;0.03501430448248727;0.0005536247642565152;0.0006091893881511055;3451.3828804495956;1.001481451659215;0.005836510817379112
model_sd[8,1];0.15924786046615327;0.04133362287203354;0.0006535419611102822;0.0006554251798835932;4368.499588437314;1.0008558446979647;0.007387414258805512
model_sd[9,1];0.1645568376161076;0.040080220051815704;0.0006337239224224477;0.0006392288408286288;4261.552271380423;1.0009265408943506;0.007206559455234456
model_sd[10,1];0.11242214599114264;0.02846544165320904;0.00045007815113384705;0.0004469314326117759;4769.758698297006;1.0000340507195233;0.008065969265998145
model_sd[11,1];0.12455329802091183;0.02682991898781711;0.0004242182671965073;0.0004625197312969566;4224.482513369631;1.0002676059036848;0.007143872106098788
model_sd[12,1];0.08894029359070953;0.02174788912722628;0.0003438643197142323;0.00031543662349665626;4363.833695507468;0.9992669478177398;0.0073795239332458545
model_sd[13,1];0.10672160152769242;0.024737594014650043;0.0003911357045942143;0.0004389834880910376;2996.1455783043048;1.000016356976416;0.00506667520931138
model_sd[14,1];0.08888843588799744;0.021818306462833736;0.0003449777155506325;0.00034065263497568384;4680.417849904903;1.0007008813694074;0.007914888135293107
model_sd[15,1];0.09911200333022543;0.023079407993872498;0.00036491748154467255;0.00041989369838419505;3318.824605614168;0.9996780777335564;0.00561234623413551
model_sd[16,1];0.12837734217557079;0.030375309974104984;0.0004802758207590097;0.0005568426333629563;3630.582749412637;0.9993404787714426;0.006139549341328523
model_sd[17,1];0.12900666684671935;0.03178221245038852;0.0005025209021129448;0.0006253075421937158;2510.811935359329;1.0020296294942965;0.004245944749896989
model_sd[18,1];0.14194088058102972;0.0315741490550501;0.0004992311309780573;0.00055580403120651;3264.2442715358966;1.000015411661541;0.005520047372694064
model_sd[19,1];0.12752895836379968;0.03204457345194524;0.0005066691937835558;0.0004510867545301568;5566.666359374363;1.0000741474741552;0.009413591464241302
model_sd[20,1];0.12195881769450166;0.03008800614272949;0.00047573314832081217;0.0004857566543262176;3706.2269489132946;1.0009762906142796;0.006267468556307088
model_sd[21,1];0.10859899204799842;0.026765359169096867;0.0004231974868340896;0.0005517917203485682;2839.156777263107;1.0011294410153722;0.004801197032237914
model_sd[22,1];0.30919674559900556;0.07627059462956493;0.0012059439876241577;0.0012328017867743648;4446.480424782564;0.9997911020062705;0.007519284877233692
model_sd[23,1];0.1167303150671638;0.028906888241034802;0.0004570580345480419;0.00040002748537779005;5204.996220024523;1.0002476734514132;0.008801983956828685
model_sd[24,1];0.13541374872299866;0.030835741791425324;0.00048755588700872393;0.0005394463878514495;3811.3992111920256;0.99980426971855;0.006445321627884614
model_sd[1,2];0.22663038321967366;0.05212444171204012;0.0008241597878736665;0.0010413722959684735;3155.062152483629;1.0000349345678081;0.005335413374964457
model_sd[2,2];0.2034471702981663;0.04913430595076913;0.0007768815902799774;0.000741119076993182;3819.3950079759684;1.0003678262236892;0.006458843035401408
model_sd[3,2];0.17692283705167175;0.042576101664514046;0.0006731872757537526;0.000702636486215558;3262.544117520964;0.9993989617820962;0.005517172302716875
model_sd[4,2];0.19428988539461534;0.04434572412136952;0.0007011674635649844;0.0008045781966628115;3679.719073051447;0.9997786653528238;0.006222642030368806
model_sd[5,2];0.23686262916587544;0.05740295634422526;0.0009076204323748213;0.0010421810780268297;3502.7362924559443;1.0007284260460536;0.005923352745692014
model_sd[6,2];0.4017949789660827;0.10019508337298921;0.0015842233690455602;0.0017516520676411035;3783.301055560916;0.9998012055348142;0.0063978058363975765
model_sd[7,2];0.43482021870110793;0.10587756693944908;0.00167407132322801;0.0016710687157351974;4639.324164322518;1.000477000733545;0.007845396065379286
model_sd[8,2];0.3472046333491852;0.08484184672843123;0.001341467382783739;0.0010762267379109377;5892.0877412603895;0.999424937404368;0.009963899987338813
model_sd[9,2];0.2423731814670992;0.05968233614773837;0.0009436605915332639;0.0010131270878908454;3495.635616629482;1.0010357709240405;0.00591134504538539
model_sd[10,2];0.14873988852976816;0.035804493835187856;0.000566118754943255;0.0005820621601942487;4293.712469612434;0.9998141327647199;0.007260944422469889
model_sd[11,2];0.14020441170621722;0.03418977626572505;0.000540587828456287;0.0005562804459558267;4072.5513300007606;1.000594255135011;0.006886946686362652
model_sd[12,2];0.15146627620018316;0.031425112512423053;0.0004968746563315661;0.0007085568031478427;2692.7185950946478;1.0009540172824605;0.004553560631436098
model_sd[13,2];0.11718502843282448;0.02855237831364888;0.0004514527404296398;0.00045161446572836096;3916.5393067195396;0.999418305705999;0.006623120303413383
model_sd[14,2];0.13838042499414888;0.03596307299482801;0.0005686261116127468;0.0006404683626745639;3574.504788900206;1.0011025491098606;0.006044717897097472
model_sd[15,2];0.15502095667678867;0.03803540027948165;0.0006013924829968348;0.0005086217745519337;4550.028511763264;0.9995056175963704;0.007694391363739484
model_sd[16,2];0.2856169072621129;0.07024362592509312;0.0011106492451607318;0.0011635892618365995;3770.5775674161205;0.9998743212953854;0.0063762895981927265
model_sd[17,2];0.40486372704796214;0.09883542592906293;0.0015627252972435113;0.001507838199937044;4730.744310599637;0.9994310329128864;0.007999993422773398
model_sd[18,2];0.4253791621471283;0.09915158245858423;0.0015677241708956194;0.0016831651068583804;3650.3375307582;1.0012382340362456;0.0061729559493497455
model_sd[19,2];0.2824853437447856;0.06623074459394146;0.0010472000202286938;0.001117750562473466;3431.8359064882493;0.9991521929150791;0.005803455625033265
model_sd[20,2];0.1974846229248725;0.04773304764556298;0.0007547257511065833;0.0007830724860163949;3699.1811638857666;0.9996770251938301;0.006255553679877981
model_sd[21,2];0.14277023080799864;0.034805872355678044;0.0005503291629651642;0.0006127551513220776;3676.558437770024;0.9999927522157231;0.006217297192473738
model_sd[22,2];0.2999411101240097;0.07497170731141474;0.0011854067758778459;0.001150387189907622;4209.030413485962;0.9997415519339995;0.007117741609643838
model_sd[23,2];0.15540880602955023;0.0397264874284095;0.0006281309185590967;0.0006365958525551903;4312.171972517236;0.999480581192496;0.00729216063119527
model_sd[24,2];0.22216118880776628;0.053728538682371;0.0008495227879437721;0.001054929580283316;2688.712155113214;1.0009557560107882;0.004546785483299599
model_sd[1,3];0.2234850547895457;0.0536514726203547;0.0008483042665124156;0.0008808148993083841;4493.156051057064;0.9997766303975821;0.007598216368492517
model_sd[2,3];0.21132728116002727;0.05421854339211391;0.0008572704426787587;0.001048521783938945;2894.790850716519;1.001236338368432;0.004895277834853301
model_sd[3,3];0.22170164783516502;0.05322256990624643;0.0008415227191563648;0.0009014971112785035;4145.95084149243;1.000394859309945;0.007011069989296712
model_sd[4,3];0.25021199745441247;0.057904433211335274;0.0009155494778445875;0.001081888219321716;3610.6053509852823;0.9993706838479322;0.006105766273479162
model_sd[5,3];0.3001159548094132;0.06999546945215618;0.0011067255468077586;0.0009863886967387335;4140.06425546647;0.9992146949538653;0.007001115393064412
model_sd[6,3];0.44784448307193203;0.1093181675943142;0.0017284719961702132;0.0018756845538254196;4382.284843580347;0.9993740541472722;0.007410726013412165
model_sd[7,3];0.29956883827759645;0.071716683366713;0.0011339403283596285;0.001205381202290932;4044.555986296339;1.0009947048619314;0.006839604756467637
model_sd[8,3];0.23078797636018514;0.05125918823071063;0.0008104789291017106;0.0008863874256471065;3773.8276456281637;1.0004229995813472;0.006381785689846124
model_sd[9,3];0.14189106005661142;0.034574967997013956;0.0005466782444899694;0.0005820194542720988;3580.9475958530534;1.0007066504032862;0.0060556130987534755
model_sd[10,3];0.14017181953999602;0.03278074245224894;0.0005183090477024002;0.0005687409690713099;3791.9296339456646;0.9992591382430895;0.006412397318370341
model_sd[11,3];0.11218949027158977;0.027467892361125654;0.00043430551192748663;0.00039913470395512286;3799.058554498733;0.9997592466492812;0.006424452782329413
model_sd[12,3];0.12658859005279424;0.0297122719221566;0.00046979226866142006;0.0005405165921140619;3060.1748825886693;1.0000062213040797;0.00517495288815189
model_sd[13,3];0.11715127604882795;0.029364616258850767;0.00046429534997390477;0.00047688528694375286;4121.6086155269895;0.9998466410563684;0.006969905716862275
model_sd[14,3];0.16851379525726004;0.04204581754099507;0.0006648027475670224;0.00062430956281617;4960.994983134829;0.999604001409614;0.008389362144676954
model_sd[15,3];0.21654378714436964;0.052138594933850355;0.0008243835699594161;0.0008211287770181158;5071.23444436586;0.9997160150073312;0.008575784176153548
model_sd[16,3];0.30502437585022046;0.07598548499632927;0.0012014360085047583;0.0012611456377103019;4384.191754188173;1.0006705440457144;0.007413950722108901
model_sd[17,3];0.322492502223354;0.07160597869681631;0.0011321899338371756;0.0012633964940461622;2996.862683426911;0.9996496532185487;0.005067887880275532
model_sd[18,3];0.22946315794178063;0.049118675080598286;0.0007766344445222261;0.0009025341849309914;3409.81770886249;1.000536449981461;0.005766221434254293
model_sd[19,3];0.1699591038742281;0.039522343104985265;0.0006249031133920234;0.0006400345927151383;4374.348646220438;0.9996835263332369;0.007397305392361298
model_sd[20,3];0.12864380808372033;0.032608237943975556;0.000515581511938444;0.0004906646279425792;4516.407677626081;1.0004033027772592;0.007637536367082197
model_sd[21,3];0.14572113207822748;0.032444691965442286;0.0005129956229668133;0.000682328032973907;2507.572538856842;0.9997710806122481;0.004240466721702655
model_sd[22,3];0.42810666599140906;0.10507332701617032;0.0016613551735140104;0.0015161476333947089;5172.033605052208;0.9997298861132803;0.008746242051187096
model_sd[23,3];0.20892379952387666;0.05073218041055683;0.0008021462038196787;0.0007573678180170284;4445.502368560942;1.0002602306123176;0.007517630921148485
model_sd[24,3];0.30329751533141164;0.07402819728487375;0.0011704885724824687;0.0011585921708601975;3848.7983119758865;1.000154780965872;0.006508565916868518
model_sd[1,4];0.28489024018916925;0.07126361179748016;0.0011267766378504163;0.0011245114425315506;4278.23938943165;1.0000247425690492;0.007234778446980797
model_sd[2,4];0.3359486931779464;0.08011159248715445;0.0012666754962132076;0.0012793164265365881;4834.706226150457;1.0007067668929783;0.008175799720053513
model_sd[3,4];0.30915941512943157;0.07505697053193552;0.0011867549057652804;0.000993315017874634;4968.4419790900165;0.9995947873560429;0.008401955494634048
model_sd[4,4];0.5503946092826323;0.13198781227417217;0.0020869105508455623;0.0019348624394328194;4522.950589471297;0.9993365565928682;0.007648600852560779
model_sd[5,4];0.454538690349916;0.10948823815955114;0.0017311610479157182;0.001536519848488495;4575.7416716913285;0.9996831173536362;0.007737873973831587
model_sd[6,4];0.2794421581081819;0.06205276211056889;0.0009811403168699744;0.0008348237735489622;4619.581204575975;0.9993597861614655;0.007812009448443652
model_sd[7,4];0.19020993944953565;0.045126341606759754;0.0007135101097409162;0.0008012286724082842;3483.053050868191;1.0001358486226868;0.005890067116010428
model_sd[8,4];0.15149262487784843;0.03468412307886206;0.00054840413787408;0.000658709517970513;2931.0345070274393;0.9995647158246548;0.0049565681927902045
model_sd[9,4];0.1919276227730125;0.03706501883116316;0.0005860494051175377;0.0005195313024460364;4387.988867746491;0.9996967412160955;0.007420371885777377
model_sd[10,4];0.1428988328682883;0.03441553795614205;0.0005441574342069246;0.0005620167043956609;4761.690649267781;0.9997379267157969;0.008052325675279493
model_sd[11,4];0.1347083886092359;0.03359557184585042;0.0005311926316435727;0.00045447611385932013;4478.073233742515;0.9996305009453308;0.007572710352654178
model_sd[12,4];0.13516553763215797;0.03363183583903707;0.0005317660157211859;0.0005313887746185181;4370.032935448393;0.9998310814636046;0.007390007247392102
model_sd[13,4];0.1906621388192799;0.04561040313396069;0.0007211637945089887;0.0006257899700136496;4437.356152986464;1.0001746242356846;0.007503855145765676
model_sd[14,4];0.2459040480238342;0.06136360741539238;0.0009702438243851902;0.0009174676832772;4511.504891118;1.000012048523213;0.007629245439219107
model_sd[15,4];0.2630989466965323;0.06310742649855712;0.000997816025035526;0.0009657076394411439;4567.681123741716;1.0006823376214464;0.0077242430679218405
model_sd[16,4];0.2587813908624151;0.06220387433850831;0.0009835296109829297;0.0011805334943104171;2842.423865875074;0.9998337419291357;0.004806721889573534
model_sd[17,4];0.19678655939383913;0.04525706170414218;0.0007155769759593535;0.0007300732016201558;3800.583074167837;0.9999094319555865;0.006427030843311993
model_sd[18,4];0.1385024801068265;0.035319765802584766;0.0005584545317994644;0.0006622897498864454;3390.214780320959;0.9998600217516823;0.0057330716191082995
model_sd[19,4];0.13160059937838248;0.031890145065670415;0.0005042274666034922;0.0005275707800451514;4270.663604280161;0.999222494299396;0.007221967306195094
model_sd[20,4];0.12575683645376695;0.02985290357306029;0.00047201585030124673;0.0003559956076869509;4598.39140259392;0.9994140559766366;0.007776176128070262
model_sd[21,4];0.1347801431524386;0.03389506360318443;0.0005359280121116823;0.000560025220228953;4086.633423836618;1.001200545711429;0.0069107604143236676
model_sd[22,4];0.40302605687298926;0.09921880504477813;0.0015687870533085178;0.0013905743173288831;4352.628907135715;0.9993493489217277;0.007360575914204379
